arm,node,role,attack_start_s,t_s,trust
baseline,srv3,sybil,20,74.703,0.589800
baseline,srv3,sybil,20,76.509,0.557300
baseline,srv3,sybil,20,77.958,0.537100
baseline,srv3,sybil,20,79.578,0.601400
baseline,srv3,sybil,20,81.149,0.564900
baseline,srv3,sybil,20,82.716,0.504300
baseline,srv3,sybil,20,84.629,0.576500
baseline,srv3,sybil,20,86.353,0.410200
baseline,srv3,sybil,20,87.724,0.459900
baseline,srv3,sybil,20,89.089,0.532300
baseline,srv3,sybil,20,90.542,0.533700
baseline,srv3,sybil,20,92.003,0.593800
baseline,srv3,sybil,20,93.303,0.589300
baseline,srv3,sybil,20,94.716,0.414100
baseline,srv3,sybil,20,96.051,0.551200
baseline,srv3,sybil,20,97.500,0.553000
baseline,srv3,sybil,20,99.053,0.552800
baseline,srv3,sybil,20,100.369,0.578100
baseline,srv3,sybil,20,101.769,0.567900
baseline,srv3,sybil,20,103.234,0.682200
baseline,srv3,sybil,20,104.730,0.590400
baseline,srv3,sybil,20,106.334,0.689800
baseline,srv3,sybil,20,108.058,0.451900
baseline,srv3,sybil,20,109.442,0.574400
baseline,srv3,sybil,20,110.905,0.574400
baseline,srv3,sybil,20,112.333,0.598200
baseline,srv3,sybil,20,113.783,0.567000
baseline,srv3,sybil,20,115.094,0.490800
baseline,srv3,sybil,20,116.781,0.574400
baseline,srv3,sybil,20,118.402,0.562800
baseline,srv3,sybil,20,119.994,0.576600
baseline,srv3,sybil,20,121.440,0.555400
baseline,srv3,sybil,20,123.195,0.431800
baseline,srv3,sybil,20,124.687,0.575100
baseline,srv3,sybil,20,126.045,0.445000
baseline,srv3,sybil,20,127.442,0.561100
baseline,srv3,sybil,20,128.820,0.570800
baseline,srv3,sybil,20,130.103,0.589600
baseline,srv3,sybil,20,131.448,0.539200
baseline,srv3,sybil,20,132.740,0.681900
baseline,srv3,sybil,20,134.224,0.639200
baseline,srv3,sybil,20,136.060,0.720600
baseline,srv3,sybil,20,137.566,0.575000
baseline,srv3,sybil,20,139.423,0.586400
baseline,srv3,sybil,20,140.733,0.574800
baseline,srv3,sybil,20,142.213,0.465100
baseline,srv3,sybil,20,143.701,0.566600
baseline,srv3,sybil,20,145.287,0.570200
baseline,srv3,sybil,20,146.812,0.479400
baseline,srv3,sybil,20,148.297,0.479300
baseline,srv3,sybil,20,149.588,0.474300
baseline,srv3,sybil,20,150.910,0.585900
baseline,srv3,sybil,20,152.312,0.583000
baseline,srv3,sybil,20,153.939,0.445400
baseline,srv3,sybil,20,155.575,0.563700
baseline,srv3,sybil,20,157.034,0.573600
baseline,srv3,sybil,20,158.626,0.490400
baseline,srv3,sybil,20,159.952,0.598700
baseline,srv3,sybil,20,161.410,0.527900
baseline,srv3,sybil,20,162.889,0.591800
baseline,srv3,sybil,20,164.458,0.562000
baseline,srv3,sybil,20,166.229,0.405500
baseline,srv3,sybil,20,167.645,0.533300
baseline,srv3,sybil,20,169.353,0.470700
baseline,srv3,sybil,20,170.680,0.470700
baseline,srv3,sybil,20,172.413,0.548900
baseline,srv3,sybil,20,174.061,0.420200
baseline,srv3,sybil,20,175.488,0.420200
baseline,srv3,sybil,20,177.161,0.595200
baseline,srv3,sybil,20,179.049,0.436100
baseline,srv3,sybil,20,180.586,0.510900
baseline,srv3,sybil,20,182.076,0.516000
baseline,srv3,sybil,20,183.528,0.579500
baseline,srv3,sybil,20,184.960,0.562300
baseline,srv3,sybil,20,186.685,0.487100
baseline,srv3,sybil,20,188.247,0.456200
baseline,srv3,sybil,20,189.838,0.525900
baseline,srv3,sybil,20,191.177,0.478200
baseline,srv3,sybil,20,192.558,0.576600
baseline,srv3,sybil,20,193.850,0.524300
baseline,srv3,sybil,20,195.144,0.719700
baseline,srv3,sybil,20,196.796,0.750200
baseline,srv3,sybil,20,198.591,0.690300
baseline,srv3,sybil,20,200.264,0.575200
baseline,srv3,sybil,20,201.848,0.611800
baseline,srv3,sybil,20,203.381,0.556700
baseline,srv3,sybil,20,204.923,0.556700
baseline,srv3,sybil,20,206.193,0.593500
baseline,srv3,sybil,20,207.706,0.667400
baseline,srv3,sybil,20,209.052,0.557100
baseline,srv3,sybil,20,210.582,0.421500
baseline,srv3,sybil,20,211.996,0.586300
baseline,srv3,sybil,20,213.411,0.517800
baseline,srv3,sybil,20,215.367,0.570300
baseline,srv3,sybil,20,216.997,0.580300
baseline,srv3,sybil,20,218.485,0.604600
baseline,srv3,sybil,20,220.087,0.424500
baseline,srv3,sybil,20,221.456,0.597700
baseline,srv3,sybil,20,223.008,0.612600
baseline,srv3,sybil,20,224.678,0.583100
baseline,srv3,sybil,20,226.143,0.595000
baseline,srv3,sybil,20,227.568,0.586500
baseline,srv3,sybil,20,228.864,0.505000
baseline,srv3,sybil,20,230.168,0.539300
baseline,srv3,sybil,20,231.937,0.578300
baseline,srv3,sybil,20,233.413,0.425300
baseline,srv3,sybil,20,234.789,0.518200
baseline,srv3,sybil,20,236.174,0.510300
baseline,srv3,sybil,20,237.663,0.591600
baseline,srv3,sybil,20,239.003,0.547700
baseline,srv3,sybil,20,240.610,0.447500
baseline,srv3,sybil,20,242.066,0.589700
baseline,srv3,sybil,20,243.822,0.551900
baseline,srv3,sybil,20,245.221,0.573000
baseline,srv3,sybil,20,246.706,0.554500
baseline,srv3,sybil,20,248.074,0.560200
baseline,srv3,sybil,20,249.798,0.442700
baseline,srv3,sybil,20,251.100,0.519500
baseline,srv3,sybil,20,252.451,0.584100
baseline,srv3,sybil,20,254.015,0.589700
baseline,srv3,sybil,20,255.431,0.503200
baseline,srv3,sybil,20,257.072,0.479500
baseline,srv3,sybil,20,258.736,0.581500
baseline,srv3,sybil,20,260.162,0.490400
baseline,srv3,sybil,20,261.724,0.618100
baseline,srv3,sybil,20,263.030,0.594500
baseline,srv3,sybil,20,264.632,0.747200
baseline,srv3,sybil,20,265.998,0.551200
baseline,srv3,sybil,20,267.440,0.481200
baseline,srv3,sybil,20,268.827,0.590500
baseline,srv3,sybil,20,270.190,0.535700
baseline,srv3,sybil,20,271.684,0.545500
baseline,srv3,sybil,20,273.012,0.549000
baseline,srv3,sybil,20,274.412,0.483800
baseline,srv3,sybil,20,275.822,0.499600
baseline,srv3,sybil,20,277.484,0.525000
baseline,srv3,sybil,20,278.982,0.555600
baseline,srv3,sybil,20,280.374,0.530300
baseline,srv3,sybil,20,282.125,0.445500
baseline,srv3,sybil,20,283.728,0.576200
baseline,srv3,sybil,20,285.222,0.563800
